ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΦΥΣΙΚΗ,ΧΗΜΕΙΑ,ΒΙΟΛΟΓΙΑ
324,ΕΠΙΣΤΗΜΗΣ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΑΘΗΝΑ),20%,20%,30%,30%
328,ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ ΤΟΥ ΑΝΘΡΩΠΟΥ (ΑΘΗΝΑ),25%,20%,30%,25%
323,ΕΠΙΣΤΗΜΗΣ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΑΘΗΝΑ),25%,20%,25%,30%
1610,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
1615,ΒΙΟΙΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,25%,35%
1634,ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙ.ΠΑ.Ε.,20%,25%,25%,30%
1635,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,30%,25%
1613,ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,30%,30%
1614,ΜΑΙΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),22%,22%,25%,31%
1618,ΝΟΣΗΛΕΥΤΙΚΗΣ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,20%,25%,30%
1616,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ {ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,25%,30%
353,ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΟΡΕΣΤΙΑΔΑ),25%,25%,25%,25%
1633,ΑΜΠΕΛΟΥΡΓΙΑΣ ΚΑΙ ΟΙΝΟΛΟΓΙΑΣ (ΔΡΜ/Α),20%,20%,30%,30%
212,"ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΠΕΡIΒΑΛΛΟΝΤΟΣ ΚΑΙ ΦΥΣΙΚΏΝ ΠΟΡΏΙ"" {ΟΡΕΣΤΙΑΔΑ)",20%,20%,25%,35%
1670,ΕΡΓΟΘΕΡΑΠΕΙΑΣ {ΚΟΜΟΤΗΝΗ),22%,26%,26%,26%
404,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΚΟΜΟΤΗΝΗ),30%,25%,20%,25%
160,ΕΠΙΣΤΗΜΏΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
302,ΙΑΤΡΙΚΗΣ {ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
290,ΜΟΡΙΑΚΗΣ ΒΙΟΛΟΓΙΑΣ ΚΑΙ ΓΕΝΕΤΙΚΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),20%,25%,25%,30%
1617,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
142,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
1632,ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΚΛΙΜΑΤΙΚΗΣ ΑΝΘΕΚΤΙΚΟΤΗΤΑΣ (ΔΡΑΜΑ),20%,30%,30%,20%
1629,ΧΗΜΕΙΑΣ (ΚΑΒΑΛΑ),20%,26%,28%,26%
1001,"ΑΓΡΟΤΙ ΚΗΣ ΑΝΑΠΤΥΞΗΣ, ΑΓΡΟΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ)",20%,20%,30%,30%
277,ΒΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),22%,20%,25%,33%
154,ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΘΗΝΑ),25%,25%,25%,25%
401,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ),30%,25%,20%,25%
295,ΙΑΤΡΙΚΗΣ {ΑΘΗΝΑ),25%,25%,25%,25%
173,ΙΣΤΟΡΙΑΣ ΚΑΙ ΦΙΛΟΣΟΦΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ {ΑΘΗΝΑ),28%,22%,22%,28%
408,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ {ΑΘΗΝΑ),30%,20%,Μ.Εκτ.Ερμ. 20%,Μ.Αντ Θ. κσι Αρμ. 30%
306,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
303,ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
128,ΠΑΙΔΑΓΏΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
289,ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΑΘΗΝΑ),20%,20%,30%,30%
263,ΧΗΜΕΙΑΣ (ΑΘΗΝΑ),20%,25%,35%,20%
1011,ΨΗΦΙΑΚΏΝ ΤΕΧΝΏΝ ΚΑΙ ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ),40%,20%,20%,20%
1657,ΓΕΏΠΟΝΙΑΣ (ΗΡΑΚΛΕΙΟ),20%,20%,30%,30%
1653,ΕΠΙΣΤΗΜΏΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤCΛΟΓΙΑΣ (ΣΗΤΕΙΑ),20%,20%,30%,30%
1651,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΗΡΙ\ΚΛΕΙΟ),25%,25%,25%,25%
1452,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΏΝ {ΑΡΓΟΣΤΟΛΙ),23%,23%,28%,26%
407,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ {ΚΕΡΚΥΡΑ),20%,20%,Μ.Εκτ.Ερμ. 30%,Μ.Αvτ.Θ. και Αρμ. 30%
1453,ΠΕΡΙΒΑΛΛΟΝΤΟΣ {ΖΑΚΥΝΘΟΣ),20%,25%,25%,30%
367,ΤΕΧΝΏΝ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ),30%,25%,20%,25%
882,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΛΙΜΕΝΟΦΥΜΚΏΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
883,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.] (ΜΟΝΟ ΓΙΑ ΕΝ ΕΝΕΡΓΕΙΑ ΣΤΕΛΕΧΗ ΛΣ-ΕΛ.ΑΚΤ.],30%,30%,20%,20%
881,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.) (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
409,ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,Μ.Εκτ.Ερμ. 40%,Μ.Αντ.Θ. κσι Αρμ. 20%
372,ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ (ΛΗΜ ΟΣ),25%,25%,25%,25%
162,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ (ΡΟΔΟΣ),25%,25%,25%,25%
143,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΟΔΟΣ),25%,25%,25%,25%
276,ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΜΥΤΙΛΗΝΗ),20%,30%,30%,20%
1391,ΩΚΕΑΝΟΓΡΑΦΙΑΣ ΚΑΙ ΘΑΛΑΣΣΙΏΝ ΒΙΟΕΠΙΣΤΗΜΩΝ (ΜΥΤΙΛΗΝΗ),20%,25%,25%,30%
673,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΑΙΓΑΛΕΩ),40%,20%,20%,20%
678,ΒΙΟΙΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΏΝ (ΑΙΓΑΛΕΩ),20%,25%,25%,30%
679,ΔΗΜΟΣΙΑΣ ΚΑΙ ΚΟΙΝΟΤΙΚΗΣ ΥΓΕΙΑΣ (ΑΘΗΝΑ),25%,20%,20%,35%
684,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ {ΑΙΓΑΛΕΩ),20%,20%,30%,30%
685,"ΕΠΙΣΤΗΜΩΝ ΟΙΝΟΥ, ΑΜΠΕΛΟΥ ΚΑΙ ΠΟΤΩΝ {ΑΙΓΑΛΕΩ)",20%,20%,30%,30%
680,ΕΡΓΟΘΕΡΑΠΕΙΑΣ {ΑΙΓΑΛΕΩ),30%,20%,20%,30%
681,ΜΑΙΕΥΤΙΚΗΣ {ΑΙΓΑΛΕΩ),25%,25%,25%,25%
388,ΜΗΧΑ ΙΚΩΝ ΒΙΟϊΑΤΡΙΚΗΣ {ΑΙΓΑΛΕΩ),20%,30%,25%,25%
682,ΝΟΣΗΛΕΥΤΙΚΗΣ {ΑΙΓΑΛΕΩ),25%,25%,25%,25%
683,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ {ΑΙΓΑΛΕΩ),25%,25%,25%,25%
1552,ΓΕΩΠΟΝΙΑΣ {ΦΛΩΡΙΝΑ),20%,20%,30%,30%
1558,ΕΡΓΟΘΕΡΑΠΕΙΑΣ {ΠΤΟΛΕΜΑΪΔΑ),22%,22%,27%,29%
1553,ΜΑΙΕΥΤΙΚΗΣ (ΠΤΟΛΕΜΑΙΔΑ),22%,23%,25%,30%
334,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΦΛΩΡΙΝΑ),30%,30%,20%,20%
341,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΦΛΩΡΙΝΑ),25%,25%,25%,25%
284,ΒΙΟΧΗΜΕΙΑΣ ΚΑΙ ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΛΑΡΙΣΑ),20%,20%,30%,30%
1422,ΓΕΩΠΟΝ ΙΑΣ - ΑΓΡΟΤΕΧΝΟΛΟΓΙΑΣ (ΛΑΡΙΣΑ),20%,25%,30%,25%
360,"ΓΕΩΠΟΝΙΑΣ, ΙΧΘΥΟΛΟΓΙΑΣ ΚΑΙ ΥΔΑΤΙΝΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ {ΒΟΛΟΣ)",25%,25%,25%,25%
274,"ΓΕΩΠΟΝ ΙΑΣ, ΦΥΤΙ ΚΗΣ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΑΓΡΟΤΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΒΟΛΟΣ)",20%,20%,30%,30%
1424,"ΔΑΣΟΛΟΓΙΑΣ, ΕΠΙΣΤΗΜΩΝ ΞΥΛΟΥ ΚΑΙ ΣΧΕΔΙΑΣΜΟΥ (ΚΑΡΔΙΤΣΑ)",25%,20%,25%,30%
1425,ΔΗΜΟΣΙΑΣ ΚΑΙ ΕΝΙΑΙΑΣ ΥΓΕΙΑΣ (ΚΑΡΔΙΤΣΑ),25%,25%,25%,25%
1426,ΔΙΑΙΤCΛΟΓΙΑΣ ΚΑΙ ΔΙΑΤΡΟΦΟΛΟΓΙΑΣ (ΤΡΙΚΑΙΙΑ),25%,20%,25%,30%
1428,ΕΠΙΣΤΗΜΗΣ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΛΑΡΙΣΑ),25%,25%,25%,25%
1429,ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΙVΙΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ {ΚΑΡΔΙΤΣΑ),25%,25%,25%,25%
405,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΤΡΙΚΑΛΑ),30%,25%,20%,25%
300,ΙΑΤΡΙΚΗΣ {ΛΑΡΙΣΑ),25%,25%,25%,25%
308,ΚΤΗΝΙΑΤΡΙΚΗΣ {ΚΑΡΔΙΤΣΑ),25%,25%,25%,25%
1433,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΛΑΡΙΣΑ),20%,25%,25%,30%
164,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
178,ΠΑΙΔΑΓΩΓΙΚΌ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
166,ΠΑΙΔΑΓΩΓΙΚΌ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
1434,ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΛΑΡΙΣΑ),25%,20%,25%,30%
369,ΠΛΗΡΟΦΟΡΙΚΗΣ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΒΙΟΙΑΤΡΙΚΗ (ΛΑΜΙΑ),25%,25%,25%,25%
1438,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΛΑΜΙΑ),20%,20%,20%,40%
1241,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΙΩΑΝΝΙΝΑ),34%,22%,22%,22%
280,ΒΙΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ ΚΑΙ ΤΕΧΝΟΛΟΓΙΩΝ (ΙΩΑΝΝΙΝΑ),20%,20%,25%,35%
1242,ΓΕΩΠΟΝΙΑΣ (ΑΡΤΑ),25%,25%,20%,30%
301,ΙΑΤΡΙΚΗΣ {ΙΩΑΝΝΙΝΑ),25%,25%,25%,25%
1245,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΙΩΑΝΝΙΝΑ),35%,20%,20%,25%
1248,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ {ΑΡΤΑ),30%,20%,Μ.Εκτ.Ερμ. 30%,Μ.Αvτ.Θ. και Αρμ. 20%
1249,ΝΟΣΗΛΕΥΤΙΚΗΣ {ΙΩΑΝΝΙΝΑ),25%,20%,25%,30%
130,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΙΩΑΝΝΙΝΑ),25%,25%,25%,25%
156,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΙΩΑΝΝΙΝΑ),30%,30%,20%,20%
269,ΧΗΜΕΙΑΣ (ΙΩΑΝΝΙΝΑ),20%,25%,35%,20%
282,ΒΙΟΛΟΓΙΑΣ {ΗΡΑΚΛΕΙΟ),24%,24%,25%,27%
200,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΜΗΧΑΝΙΚΗΣ ΥΛΙΚΏΝ (ΗΡΑΚΛΕΙΟ) (ΜΕΤΟΝΟΜΑΣΙΑ ΤΟΥ ΤΜΗΜΑΤΟΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΥΛΙΚΏΝ),20%,20%,30%,30%
304,ΙΑΤΡΙΚΗΣ (ΗΡΑΚΛΕΙΟ),25%,25%,25%,25%
132,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25%
158,ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),40%,20%,20%,20%
270,ΧΗΜΕΙΑΣ (ΗΡΑΚΛΕΙΟ),20%,27%,27%,26%
1288,ΑΕΙΦΟΡΙΚΗΣ ΓΕΩΡΓΙΑΣ (ΑΓΡΙΝΙΟ),20%,25%,25%,30%
1276,"ΑΛΙΕΙΑΣ ΚΑΙ ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΙ, (ΜΕΣΟΛΟΓΓΙ)",20%,23%,25%,32%
281,ΒΙΟΛΟΓΙΑΣ (ΠΑΤΡΑ),22%,22%,28%,28%
1289,ΓΕΩΠΟΝΙΑΣ (ΜΕΣΟΛΟΓΓΙ),20%,25%,25%,30%
1278,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΑΓΡΙΝΙΟ),20%,20%,30%,30%
288,ΕΠΙΣΤΗΜΗΣ ΤΩΝ ΥΛΙΚΩΝ (ΠΑΤΡΑ),22%,27%,28%,23%
1286,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΠΑΤΡΑ),29%,27%,20%,24%
136,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΙΙ. (ΠΑΤΡΑ),40%,20%,20%,20%
299,ΙΑΤΡΙΚΗΣ (ΠΑΤΡΑ),20%,25%,25%,30%
1274,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΠΑΤΡΑ),26%,28%,20%,26%
1272,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΠΑΤΡΑ),25%,25%,25%,25%
293,ΦΑΡΜΑΚΕΥΤΙΚΗΣ {ΠΑΤΡΑ),20%,20%,30%,30%
1273,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ {ΠΑΤΡΑ),22%,25%,23%,30%
267,ΧΗΜΕΙΑΣ {ΠΑΤΡΑ),20%,20%,40%,20%
1511,ΓΕΩΠΟΝΙΑΣ (ΚΑΛΑΜΑΤΑ),24%,24%,28%,24%
1516,ΕΠΙΣΤΗΜΗΣ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤCΛΟΓΙΑΣ (ΚΑΜΜΑΤΑ),20%,20%,30%,30%
1512,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΚΑΛΑΜΑΤΑ),20%,20%,30%,30%
1515,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΚΑΛΑΜΑΤΑ),30%,20%,20%,30%
190,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΤΡΙΠΟΛΗ),25%,20%,20%,35%
1517,ΠΑΡΑΣΤΑΤΙΚΩΝ ΚΑΙ ΨΗΦΙΑΚΏΝ TEXNCN (ΝΑΥΠΛΙΟ),25%,25%,25%,25%
1520,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ {ΣΠΑΡΤΗ),20%,30%,20%,30%
877,ΑΞΙΩΜΑΤΙΚΩΝ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),20%,30%,20%,30%
871,ΑΞΙΩΜΑΤΙΚΩΝ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ (ΜΟΝΟ  ΓΙΑ ΠΥΡΟΣΒΕΣΤΕΣ),20%,30%,20%,30%
876,ΣΧΟΛΗ ΓΙΥΡΟΣΒΕΣΤΩΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),20%,30%,20%,30%
851,ΑΞΙΩΜΑΤΙΚΩΝ ΝΟΣΗΛΕΥΤΙΚΗΣ (ΣΑΝ),25%,25%,25%,25%
831,IATPIK::J {ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ,25%,25%,25%,25%
841,ΚΤΗΝΙΑΤΡΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ,20%,20%,27%,33%
836,ΟΔΟΝΤΙΑΤΡΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ,20%,25%,25%,30%
846,ΦΑΡΜΑΚΕΥΤΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ,25%,25%,25%,25%
294,ΕΠΙΣΤΗΜΗΣ ΔΙΑΙΤΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΤΡΟΦΗΣ {ΑΘΗΝΙ\),24%,24%,26%,26%
