ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ,ΙΣΤΟΡΙΑ,ΛΑΤΙΝΙΚΑ,ΕΙΔΙΚΟ ή ΜΟΥΣΙΚΟΜΑΘΗΜΑ
163,ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
107,ΚΟΙΝΏΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ ΚΑΙ ΧΡΙΣΤΙΑΝΙΚΟΥ ΠΟΛΙΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,30%,20%,25%,
406,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,,20%,,Μ.Εκτ.Ερμ. 25%
119,ΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,30%,20%,20%,
140,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
357,ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,20%,30%,20%,
111,ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),27%,27%,20%,26%,
120,ΦΙΛΟΣΟΦΙΑΣ ΚΑΙ ΠΑΙΔΑΓΩΓΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,30%,20%,20%,
172,ΨΥΧΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),35%,25%,20%,20%,
384,ΘΕΩΡΙΑΣ ΚΑΙ ΙΣΤΟΡΙΑΣ ΤΗΣ ΤΕΧΝΗΣ (ΑΘΗΝΑ),25%,20%,35%,20¼,
872,ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΑΣΤΥΝΟΜΙΚΟΥΣ),30%,20%,30%,20%,
869,ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,20%,30%,20%,
870,ΑΣΤΥΦΥΛΑΚΩΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,20%,30%,20%,
614,ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ (ΑΣΤΕΚ),24%,24%,24%,28%,20%
613,ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ (ΑΣΤΕΡ),24%,24%,24%,28%,20%
1610,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
1609,"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ, ΑΡΧΕΙΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)",25%,25%,25%,25%,
1627,ΔΗΜΙΟΥΡΓΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ),25%,25%,25%,25%,
1669,ΑΝΘΡΩΠΙΣΤΙΚΏΝ ΣΠΟΥΔΏΝ (ΚΟΜΟΤΗΝΗ),25%,25%,25%,25%,
404,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΚΟΜΟΤΗΝΗ),30%,25%,25%,20%,20%
160,ΕΠΙΣΤΗΜΏΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%,
1301,ΚΟΙΝΏΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΚΟΜΟΤΗΝΗ),30%,20%,30%,20%,
1302,ΚΟΙΝΏΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΚΟΜΟΤΗΝΗ),30%,20%,25%,25%,
121,ΝΟΜΙΚΗΣ (ΚΟΜΟΤΗΝΗ),25%,25%,25%,25%,
142,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%,
373,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΚΟΜΟΤΗΝΗ),25%,20%,35%,20%,
1668,ΨΥΧΟΛΟΓΙΑΣ (ΔΙΔΥΜΟΤΕΙΧΟ),25%,25%,25%,25¼,
127,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),30%,20%,25%,25¼,20%
131,ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),30%,20%,20%,30%,20%
135,ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ {ΑΘΗΝΑ),30%,20%,25%,25%,20%
154,ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΘΗΝΑ),25%,25%,25%,25%,
148,ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ (ΑΘΗΝΑ),30%,20%,30%,20%,10%
401,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ),30%,25%,25%,20%,20%
146,ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ),30%,20%,30%,20%,
101,ΘΕΟΛΟΓΙΑΣ (ΑΘΗΝΑ),30%,30%,20%,20%,
183,ΙΣΠΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΜ),25%,25%,25%,25%,20%
110,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),30%,26%,24%,20%,
173,ΙΣΤΟΡΙΑΣ ΚΑΙ ΦΙΛΟΣΟΦΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ {ΑΘΗΝΑ),28%,22%,28%,22%,
182,ΙΤΑΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΜ),25%,20%,25%,30%,20%
105,ΚΟΙΝΩΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ ΚΑΙ ΘΡΗΣΚΕΙΟΛΟΓΙΑΣ {ΑΘΗΝΑ),30%,20%,30%,20%,
1006,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ {ΑΘΗΝΑ) - ΕΚΠΑ,30%,20%,30%,20%,
408,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ {ΑΘΗΝΑ),30%,,20%,,Μ.Εκτ.Ερμ. 20%
117,ΝΟΜΙΚΗΣ {ΑΘΗΝΑ),25%,25%,25%,25%,
1007,ΠΑΙΔΑΓΏΓΙΚΟ ΔΕΥΤΕΡΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),30%,25%,25%,20¼,
128,ΠΑΙΔΑΓΏΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),25%,25%,25%,25¼,
123,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),20%,30%,30%,20%,
192,ΡΏΣΙΚΗΣ ΓΛΏΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ ΚΑΙ ΣΛΑΒΙΚΏΝ ΣΠΟΥΔΏΝ (ΑΘΗΝΑ) - ΡΏΣΙΚΗΣ ΓΛΏΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ,30%,25%,25%,20¼,
188,ΤΟΥΡΚΙΚΏΝ ΣΠΟΥΔΏΝ ΚΑΙ ΣΥΓΧΡΟΝΏΝ ΑΣΙΑΤΙΚΏΝ ΣΠΟΥΔΏΝ (ΑΘΗΝΑ),30%,20%,30%,20¼,
109,ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),26%,26%,22%,26¼,
1010,ΦΙΛΟΣΟΦΙΑΣ (ΑΘΗΝΑ),35%,25%,20%,20%,
1011,ΨΗΦΙΑΚΏΝ ΤΕΧΝΏΝ ΚΑΙ ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ),30%,20%,30%,20¼,
171,ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΕΚΠΑ,30%,25%,25%,20%,
1652,ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΗΡΑΚΛΕΙΟ),25%,25%,25%,25%,
342,"ΑΡΧΕΙΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΜΟΥΣΕΙΟΛΟΓΙΑΣ (ΚΕΡΚΥΡΑ)",25%,25%,25%,25%,
145,ΙΣΤΟΡΙΑΣ (ΚΕΡΚΥΡΑ),20%,20%,40%,20%,
407,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ {ΚΕΡΚΥΡΑ),20%,,20%,,Μ. Εκτ.Ερμ. 30%
385,ΞΕΝΏΝ ΓΛΏΣΣΏΝ ΜΕΤΑΦΡΑΣΗΣ ΚΑΙ ΔΙΕΡΜΗΝΕΙΑΣ {ΚΕΡΚΥΡΑ),40%,20%,20%,20¼,20%
367,ΤΕΧΝΏΝ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ),30%,20%,30%,20¼,
1456,ΨΗΦΙΑΚΏΝ ΜΕΣΏΝ ΚΑΙ ΕΠΙΚΟΙΝΏΝΙΑΣ {ΑΡΓΟΣΤΟΛΙ),30%,20%,30%,20%,
882,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΛΙΜΕΝΟΦΥΜΚΏΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),40%,20%,20%,20%,
883,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.] (ΜΟΝΟ ΓΙΑ ΕΝ ΕΝΕΡΓΕΙΑ ΣΤΕΛΕΧΗ ΛΣ-ΕΛ.ΑΚΤ.],40%,20%,20%,20%,
881,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.) (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),40%,20%,20%,20%,
176,"ΒΑΛΚΑΝΙΚΩΝ, ΣΛΑ51ΚΩΝ ΚΑΙ ΑΝΑΤΟΛΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)",30%,20%,30%,20%,
161,ΔΙΕΘΝ:-JΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,35%,20%,20%
174,ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
409,ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,,20%,,Μ.Εκτ.Ερμ. 40%
416,ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,25%,20%,30%,25%,
162,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ (ΡΟΔΟΣ),25%,25%,25%,25%,
167,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ ΚΑΙ ΙΣΤΟΡΙΑΣ (ΜΥΤΙΛΗΝΗ),25%,25%,25%,25%,
348,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΙΙ/ΙΥΤΙΛΗΝΗ),30%,20%,30%,20%,
181,"ΜΕΣΟΓΕΙΑΚΏΝ ΣΠΟΥΔΩΝ: ΑΡΧΑΙΟΛΟΓΙΑ, ΓΛΩΣΣΟΛΟΓΙΑ, ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ (ΡΟΔΟΣ)",30%,22%,24%,24%,
143,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΟΔΟΣ),25%,25%,25%,25¼,
354,ΠΟΛΙΤΙΣΜΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΜΥΤΙΛΗΝΗ),25%,20%,30%,25%,
673,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΑΙΓΑΛΕΩ),40%,20%,20%,20%,
668,"ΑΡΧΕΙΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΑΙΓΑΛΕΩ)",30%,20%,30%,20¼,
671,ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΑΙΓΑΛΕΩ),30%,20%,30%,20%,
677,ΦΩΤΟ-ΡΑΦΙΑΣ ΚΑΙ ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ ΤΕΧΝΩΝ (ΑΙΓΑΛΕΩ),35%,20%,25%,20%,
1551,ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΨΗΦΙΑΚΏΝ ΜΕΣΩΝ (ΚΑΣΤΌΡΙΑ),40%,20%,20%,20¼,10%
334,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΦΛΩΡΙΝΑ),30%,20%,30%,20¼,
341,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΦΛΩΡΙΝΑ),25%,25%,25%,25¼,
1550,ΨΥΧΟΛΟΓΙΑΣ {ΦΛΩΡΙΝΑ),35%,25%,20%,20%,
1423,ΓΛΩΣΣ ΚΩΝ ΚΑΙ ΔΙΑΠΟΛΙΤΙΣΜΙΚΩΝ ΣΠΟΥΔΩΝ (ΒΟΛΟΣ),30%,20%,30%,20%,
405,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΤΡΙΚΑΛΑ),30%,25%,25%,20%,20%
177,"ΙΣΤΟΡΙΑΣ, ΑΡΧΑΙΟΛΟΓΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΒΟΛΟΣ)",25%,25%,25%,25%,
164,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%,
178,ΠΑΙΔΑΓΩΓΙΚΌ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%,
166,ΠΑΙΔΑΓΩΓΙΚΌ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%,
1435,ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΔΗΜΙΟΥΡΓΙΚΩΝ ΜΕΣΩΝ ΚΑΙ ΒΙΟΜΗΧΑΝΙΩΝ (ΒΟΛΟΣ),30%,20%,30%,20%,
1241,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΙΩΑΝΝΙΝΑ),34%,22%,22%,22%,
114,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ),25%,25%,28%,22%,
1248,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ  {ΑΡΤΑ),30%,,20%,,Μ.Εκτ.Ερμ. 30%
130,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΙΩΑΝΝΙΝΑ),25%,25%,25%,25%,
156,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΙΩΑΝΝΙΝΑ),30%,25%,25%,20%,
113,ΦΙΛΟΛΟΓΙΑΣ {ΙΩΑΝΝΙ ΝΑ),25%,29%,21%,25%,
122,ΦΙΛΟΣΟΦΙΑΣ (ΙΩΑΝΝΙΝΑ),40%,20%,20%,20%,
1251,ΨΥΧΟΛΟΓΙΑΣ {ΙΩΑΝΝΙΝΑ),30%,25%,25%,20%,
116,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25%,
149,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),30%,20%,30%,20%,
132,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25%,
158,ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),40%,20%,20%,20¼,
351,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25¼,
115,ΦΙΛΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),26%,26%,22%,26¼,
138,ΦΙΛΟΣΟΦΙΑΣ (ΡΕΘΥΜΝΟ) (ΜΕΤΟΝΟΜΑΣΙΑ ΤΟΥ ΤΜΗΜΑΤΟΣ ΦΙΛΟΣΟΦΙΚΏΝ ΚΑΙ ΚΟΙΝΩΝΙΚΏΝ ΣΠΟΥΔΏΝ),30%,25%,25%,20%,
151,ΨΥΧΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),35%,25%,20%,20%,
1286,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΠΑΤΡΑ),28%,26%,26%,20%,
136,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΙΙ. (ΠΑΤΡΑ),40%,20%,20%,20%,
169,ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΠΑΤΡΑ),30%,30%,20%,20%,
1284,ΙΣΤΟΡΙΑΣ -ΑΡΧΑΙΟ/\ΟΓΙΑΣ (ΠΑΤΡΑ),20%,20%,40%,20%,
175,ΦΙΛΟΛΟΓΙΑΣ {ΠΑΤΡΑ),30%,30%,20%,20%,
102,ΦΙΛΟΣΟΦΙΑΣ {ΠΑΤΡΑ),40%,20%,20%,20%,
355,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΙΚΩΝ ΣΠΟΥΔΩΝ {ΠΕΙΡΑΙΑΣ),30%,20%,30%,20¼,20%
362,ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΏΝ (ΝΑΥΠΛΙΟ),25%,25%,25%,25%,
104,"ΙΣΤΟΡΙΑΣ, ΑΡΧΑΙΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΠΟΛΙΤΙΣΜΙΚΩΝ ΑΓΑ9ΏΝ (ΚΑΛΑΜΑΤΑ)",25%,25%,30%,20%,
187,ΚΟΙΝΏΝΙΚΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΚΟΡΙΝΘΟΣ),30%,20%,30%,20%,
1517,ΠΑΡΑΣΤΑΤΙΚΩΝ ΚΑΙ ΨΗΦΙΑΚΏΝ TEXNCN (ΝΑΥΠΛΙΟ),25%,25%,25%,25%,
411,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΙΕΘΝΩΝ ΣΧΕΣΕΩΝ {ΚΟΡΙΝΘΟΣ),30%,20%,30%,20%,
189,ΦΙΛΟΛΟΓΙΑΣ {ΚΑΛΑΜΑΤΑ),30%,30%,20%,20%,
124,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%,
179,"ΔΙΕΘΝΩΝ, ΕΥΡΩΠΑΊΚΩΝ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΣΠΟΥΔΩΝ {ΑΘΗΝΑ)",30%,20%,30%,20%,10%
153,"ΕΠΙΚΟΙΝΩΝΙΑΣ, ΜΕΣΩΝ ΚΑΙ ΠΟΛΙΤΙΣΜΟΥ {ΑΘΗΝΑ)",30%,20%,30%,20%,10%
165,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΑΘΗΝΑ),30%,20%,30%,20%,
159,ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ {ΑΘΗΝΑ),30%,20%,30%,20%,
