ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΙΚΟΝΟΜΙΑ
160,ΕΠΙΣΤΗΜΏΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
1302,ΚΟΙΝΏΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΚΟΜΟΤΗΝΗ),30%,20%,20%,30%
1604,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΑΒΑΛΑ),20%,20%,25%,35%
224,ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΞΑΝΘΗ),20%,30%,30%,20%
97,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΚΟΜΟΤΗΝΗ),20%,28%,20%,32%
142,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),25%,25%,25%,25%
1630,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΚΑΒΑΛΑ),25%,25%,30%,20%
1001,"ΑΓΡΟΤΙ ΚΗΣ ΑΝΑΠΤΥΞΗΣ, ΑΓΡΟΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ)",20%,20%,30%,30%
1004,ΔΙΑΧΕΙΡΙΣΗΣ ΛΙΜΕΝΩΝ ΚΑΙ ΝΑΥΤΙΛΙΑΣ {ΨΑΧΝΑ ΕΥΒΟΙΑΣ),25%,25%,25%,25%
1005,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΟΡΓΜΙΣΜΩΝ {ΑΘΗΝΑ),20%,20%,30%,30%
154,ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΘΗΝΑ),25%,25%,25%,25%
401,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ),30%,25%,25%,20%
173,ΙΣΤΟΡΙΑΣ ΚΑΙ ΦΙΛΟΣΟΦΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ {ΑΘΗΝΑ),28%,28%,22%,22%
408,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ {ΑΘΗΝΑ),30%,,20%,
309,ΟΙΚΟΝΟΜΙΚΏΝ ΕΠΙΣΤΗΜΏΝ (ΑΘΗΝΑ),22%,34%,20%,24%
128,ΠΑΙΔΑΓΏΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
330,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΏΝΙΏΝ (ΑΘΗΝΑ),20%,35%,25%,20%
1008,ΤΕΧΝΟΛΟΓΙΏΝ ΨΗΦΙΑΚΗΣ ΒΙΟΜΗΧΑΝΙΑΣ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ),20%,30%,25%,25%
1011,ΨΗΦΙΑΚΏΝ ΤΕΧΝΏΝ ΚΑΙ ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΨΑΧΝΑ ΕΥΒΟΙΑΣ),25%,25%,30%,20%
1655,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΏΝ ΚΑΙ ΤΟΥΡΙΣΜΟΥ (ΗΡΑΚΛΕΙΟ),24%,28%,20%,28%
1656,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ (ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ),20%,20%,30%,30%
1662,ΗΛΕΚΤΡΟΝΙΚΏΝ ΜΗΧΑΝΙΚΏΝ (ΧΑΝΙΑ),30%,20%,30%,20%
1654,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΗΡΑΚΛΕΙΟ),20%,30%,20%,30%
1664,ΜΟΥΣΙΚΗΣ ΤΕΧΝΟΛJΓΙΑΣ ΚΑΙ ΑΚΟΥΣΤΙΚΗΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25%
342,"ΑΡΧΕΙΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΜΟΥΣΕΙΟΛΟΓΙΑΣ (ΚΕΡΚΥΡΑ)",25%,20%,30%,25%
407,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ {ΚΕΡΚΥΡΑ),20%,,20%,
1453,ΠΕΡΙΒΑΛΛΟΝΤΟΣ {ΖΑΚΥΝΘΟΣ),20%,20%,30%,30%
366,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΚΕΡΚΥΡΑ),20%,30%,30%,20%
367,ΤΕΧΝΏΝ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ),20%,30%,30%,20%
1455,ΤΟΥΡΙΣΜΟΥ {ΚΕΡΚΥΡΑ),20%,20%,30%,30%
1456,ΨΗΦΙΑΚΏΝ ΜΕΣΏΝ ΚΑΙ ΕΠΙΚΟΙΝΏΝΙΑΣ {ΑΡΓΟΣΤΟΛΙ),30%,20%,30%,20%
882,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΛΙΜΕΝΟΦΥΜΚΏΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
883,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.] (ΜΟΝΟ ΓΙΑ ΕΝ ΕΝΕΡΓΕΙΑ ΣΤΕΛΕΧΗ ΛΣ-ΕΛ.ΑΚΤ.],30%,30%,20%,20%
881,ΣΧΟΛΗ ΔΟΚΙΜΏΝ ΣΗΜΑΙΟΦΟΡΏΝ ΛΙΜΕΝΙΚΟΥ ΣΏΜΑΤΟΣ - ΕΛΛΗΝΙΚΗΣ ΑΚΤΟΦΥΛΑΚΗΣ (Σ.Δ.ΣΛΣ. - ΕΛ.ΑΚΤ.) (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
150,ΔΙΕΘΝΏΝ ΚΑΙ ΕΥΡΏΠΑΙΚΏΝ ΟΙΚΟΝΟΜΙΚΏΝ ΣΠΟΥΔΏΝ {ΑΘΗΝΑ),20%,30%,20%,30%
240,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ {ΑΘΗΝΑ),25%,25%,25%,25%
347,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
314,ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΕΠΙΚΟΙΝΏΝΙΑΣ (ΑΘΗΝΑ),25%,25%,25%,25%
312,ΟΙΚΟΝΟΜΙΚΗΣ ΕΠΙΣΤΗΜΗΣ {ΑΘΗΝΑ),25%,25%,25%,25%
313,ΟΡΓΑΝΏΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΏΝ {ΑΘΗΝΑ),25%,25%,25%,25%
333,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΑΘΗΝΑ),20%,30%,30%,20%
329,ΣΤΑΤΙΣΤΙΚΗΣ (ΑΘΗΝΑ),22%,34%,22%,22%
176,"ΒΑΛΚΑΝΙΚΩΝ, ΣΛΑ51ΚΩΝ ΚΑΙ ΑΝΑΤΟΛΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)",20%,20%,30%,30%
161,ΔΙΕΘΝ:-JΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,20%,35%
1211,ΕΦΑΡΜΟΣΜΕΝΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ - ΕΠΙΣΤΗΜΗ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑ ΥΠΟΛΟΓΙΣΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,30%,25%,20%
1212,ΕΦΑΡΜΟΣΜΕΝΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ - ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,30%,25%,20%
337,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
409,ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,,20%,
317,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) - Π.Ι\Ν. ΜΑΚΕΔ.,30%,30%,20%,20%
322,ΟΡΓΜΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),23%,30%,22%,25%
310,ΓΕΩΓΡΑΦΙΑΣ (ΜΥΤΙΛΗΝΗ),20%,30%,20%,30%
320,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΧΙΟΣ),25%,25%,20%,30%
162,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ (ΡΟΔΟΣ),25%,25%,25%,25%
181,"ΜΕΣΟΓΕΙΑΚΏΝ ΣΠΟΥΔΩΝ: ΑΡΧΑΙΟΛΟΓΙΑ, ΓΛΩΣΣΟΛΟΓΙΑ, ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ (ΡΟΔΟΣ)",30%,20%,25%,25%
222,ΜΗΧΑΝΙΚΏΝ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΧΙΟΣ),25%,25%,25%,25%
344,ΜΗΧΑΝΙΚΏΝ ΠΛΗΡΟΦΟΡΙΑΚΏΝ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΚΏΝ ΣΥΣΤΗΜΑΤΩΝ (ΣΑΜΟΣ),25%,25%,30%,20%
238,ΜΗΧΑΝΙΚΏΝ ΣΧΕΔΙΑΣΗΣ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ (ΣΥΡΟΣ),20%,30%,30%,20%
180,ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΕΠΙΧΕΙΡΗΜΑΤΙΚΏΝ ΥΠΗΡΕΣΙΏΝ (ΧΙΟΣ),30%,30%,20%,20%
612,ΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΤΟΥΡΙΣΜΟΥ (ΧΙΟΣ),25%,25%,20%,30%
143,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΟΔΟΣ),25%,25%,25%,25%
276,ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΜΥΤΙΛΗΝΗ),20%,20%,30%,30%
354,ΠΟΛΙΤΙΣΜΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΜΥΤΙΛΗΝΗ),25%,25%,30%,20%
218,ΣΤΑΤΙΣΤΙΚΗΣ ΚΑΙ ΑΝΑΛΟΓΙΣΤΙΚΏΝ-ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΩΝ ΜΑΘΗΜΑΤΙΚΏΝ (ΣΑΜΟΣ),25%,25%,25%,25%
673,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΑΙΓΑΛΕΩ),40%,20%,20%,20%
668,"ΑΡΧΕΙΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΑΙΓΑΛΕΩ)",30%,20%,30%,20%
674,ΓΡΑΦΙΣΤΙΚΗΣ ΚΑΙ ΟΠΤΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΑΙΓΑΛΕΩ),25%,25%,25%,25%
669,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΙΓΑΛΕΩ),30%,30%,20%,20%
670,ΔΙΟΙΚΗΣΗΣ ΤΟΥΡΙΣΜΟΥ {ΑΙΓΑΛΕΩ),30%,20%,20%,30%
675,ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ (ΑΙΓΑΛΕΩ),35%,25%,20%,20%
672,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΑΙΓΑΛΕΩ),20%,33%,20%,27%
389,ΜΗΧΑΝΙΚΩΝ ΒΙΟΜΗΧΑΝΙΚΗΣ ΣΧΕΔΙΑΣΗΣ ΚΑΙ ΠΑΡΑΓΩΓΗΣ {ΑΙΓΑΛΕΩ),20%,28%,28%,24%
390,ΜΗΧΑ ΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΥΠΟΛΟΓΙΣΤΩΝ {ΑΙΓΑΛΕΩ),24%,28%,28%,20%
677,ΦΩΤΟ-ΡΑΦΙΑΣ ΚΑΙ ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ ΤΕΧΝΩΝ (ΑΙΓΑΛΕΩ),35%,20%,25%,20%
1549,ΔΙΕΘΝΏΝ ΚΑΙ ΕΥΡΩΠΑΙΚΩΝ ΟΙΚΟΝΟΜΙΚΏΝ ΣΠΟΥΔΏΝ {ΚΟΖΑΝΗ),25%,25%,25%,25%
1544,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ {ΚΟΖΑΝΗ),20%,20%,30%,30%
1551,ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΨΗΦΙΑΚΏΝ ΜΕΣΩΝ (ΚΑΣΤΌΡΙΑ),30%,20%,30%,20%
1545,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΟΖΑΝΗ),20%,30%,20%,30%
1542,ΜΗΧΑΝΙΚΏΝ ΣΧΕΔΙΑΣΗΣ ΠΡΟΪΌΝΤΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ (ΚΟΖΑΝΗ),25%,25%,25%,25%
1548,ΟΙΚΟΝΟΜΙΚΏΝ ΕΠΙΣΤΗΜΏΝ (ΚΑΣΤΌΡΙΑ),20%,20%,25%,35%
1546,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ {ΓΡΕΒΕΝΑ),20%,20%,25%,35%
334,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΦΛΩΡΙΝΑ),30%,25%,25%,20%
341,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΦΛΩΡΙΝΑ),25%,25%,25%,25%
1543,ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΚΑΙ ΔΙΑΣΥΝΟΡΙΑΚΗΣ ΑΝΑΠΤΥΞΗΣ {ΚΟΖΑΝΗ),25%,25%,25%,25%
1554,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΚΑΣΤΌΡΙΑ),20%,20%,40%,20%
1547,ΣΤΑΤΙΣΤΙΚΗΣ ΚΑΙ ΑΣΦΑΛΙΣΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ {ΓΡΕΒΕΝΑ),20%,35%,20%,25%
1424,"ΔΑΣΟΛΟΓΙΑΣ, ΕΠΙΣΤΗΜΩΝ ΞΥΛΟΥ ΚΑΙ ΣΧΕΔΙΑΣΜΟΥ (ΚΑΡΔΙΤΣΑ)",25%,20%,30%,25%
1427,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΛΑΡΙΣΑ),20%,25%,25%,30%
405,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΤΡΙΚΑΛΑ),30%,25%,25%,20%
1430,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΛΑΡΙΣΑ),27%,27%,23%,23%
350,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΒΟΛΟΣ),27%,25%,25%,23%
164,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
178,ΠΑΙΔΑΓΩΓΙΚΌ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
166,ΠΑΙΔΑΓΩΓΙΚΌ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),25%,25%,25%,25%
1434,ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΛΑΡΙΣΑ),25%,30%,20%,25%
99,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΛΑΜΙΑ),25%,25%,25%,25%
