Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
277,"Βιολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"II,III",89,17428,1.20,14.39,,
279,"Βιολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"II,III",97,17190,1.20,14.39,,
280,"Βιολογικών Εφαρμογών & Τεχνολογιών, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"II,III",112,16260,1.20,14.39,,
281,"Βιολογίας, Πατρών",http://www.upatras.gr/,Πάτρα,"II,III",135,16746,1.00,11.99,,
282,"Βιολογίας, Κρήτης",http://www.uoc.gr/,Ηράκλειο,"II,III",120,16430,1.00,11.99,,
284,"Βιοχημείας & Βιοτεχνολογίας, Θεσσαλίας",http://www.uth.gr/,Λάρισα,"II,III",103,16030,1.20,14.39,,
288,"Επιστήμης των Υλικών, Πατρών",http://www.upatras.gr/,Πάτρα,"II,III",56,11093,0.80,09.60,,
289,"Φαρμακευτικής, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,III,97,17880,1.20,14.39,,
290,"Μοριακής Βιολογίας & Γενετικής, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,"II,III",117,16595,1.20,14.39,,
291,"Φαρμακευτικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,III,76,17625,1.20,14.39,,
293,"Φαρμακευτικής, Πατρών",http://www.upatras.gr/,Πάτρα,III,138,17620,1.20,14.39,,
294,"Επιστήμης Διαιτολογίας & Διατροφής, Χαροκοπείου",http://www.hua.gr/,Αθήνα,III,54,16344,1.20,14.39,,
295,"Ιατρικής, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,III,140,18775,1.20,14.39,,
297,"Ιατρικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,III,131,18575,1.20,14.39,,
299,"Ιατρικής, Πατρών",http://www.upatras.gr/,Πάτρα,III,136,18445,1.20,14.39,,
300,"Ιατρικής, Θεσσαλίας",http://www.uth.gr/,Λάρισα,III,76,18100,1.20,14.39,,
301,"Ιατρικής, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,III,110,18200,1.20,14.39,,
302,"Ιατρικής, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,III,114,17975,1.20,14.39,,
303,"Οδοντιατρικής, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,III,85,17900,1.20,14.39,,
304,"Ιατρικής, Κρήτης",http://www.uoc.gr/,Ηράκλειο,III,93,18050,1.20,14.39,,
305,"Οδοντιατρικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,III,64,17995,1.00,11.99,,
306,"Νοσηλευτικής, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,III,127,14400,1.20,14.39,,
307,"Κτηνιατρικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,III,85,17657,1.20,14.39,,
308,"Κτηνιατρικής, Θεσσαλίας",http://www.uth.gr/,Καρδίτσα,III,76,17125,1.20,14.39,,
323,"Επιστήμης Φυτικής Παραγωγής, Γεωπονικού",http://www.aua.gr/,Αθήνα,"II,III",165,14720,1.20,14.39,,
324,"Επιστήμης Ζωικής Παραγωγής, Γεωπονικού",http://www.aua.gr/,Αθήνα,"II,III",62,11950,1.00,11.99,,
325,"Βιοτεχνολογίας, Γεωπονικού",http://www.aua.gr/,Αθήνα,"II,III",108,15870,1.20,14.39,,
326,"Αγροτικής Οικονομίας & Ανάπτυξης, Γεωπονικού",http://www.aua.gr/,Αθήνα,"III,IV",56,12310,0.85,08.92,,
327,"Αξιοποίησης Φυσικών Πόρων & Γεωργικής Μηχανικής, Γεωπονικού",http://www.aua.gr/,Αθήνα,"II,III",70,11315,1.00,11.99,,
328,"Επιστήμης Τροφίμων & Διατροφής του Ανθρώπου, Γεωπονικού",http://www.aua.gr/,Αθήνα,"II,III",100,14520,1.20,14.39,,
334,"Παιδαγωγικό Δημοτικής Εκπ/σης, Δυτ. Μακεδονίας",http://www.uowm.gr/,Φλώρινα,"I,II,III,IV",182,12860,0.80,08.40,,
341,"Παιδαγωγικό Νηπιαγωγών, Δυτ. Μακεδονίας",http://www.uowm.gr/,Φλώρινα,"I,II,III,IV",178,10975,1.00,10.50,,
353,"Αγροτικής Ανάπτυξης, ΔΠΘ",http://www.duth.gr/,Ορεστιάδα,"II,III,IV",162,9125,0.80,08.40,,
360,"Γεωπονίας, Ιχθυολογίας & Υδάτινου Περιβάλλοντος, Θεσσαλίας",http://www.uth.gr/,Βόλος,"II,III",96,9600,0.80,09.60,,
367,"Τεχνών Ήχου & Εικόνας, Ιονίου",http://www.ionio.gr/,Κέρκυρα,"I,II,III,IV",86,9410,0.80,08.40,,
369,"Πληροφορικής με Εφαρμογές στη Βιοϊατρική, Θεσσαλίας",http://www.uth.gr/,Λαμία,"II,III,IV",167,12515,1.00,10.50,,
372,"Επιστήμης Τροφίμων & Διατροφής, Αιγαίου",http://www.aegean.gr/,Λήμνος,"II,III",120,9600,0.80,09.60,,
388,"Μηχανικών Βιοϊατρικής, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"II,III",93,13885,0.80,09.60,,
401,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",111,17399,0.80,08.55,,
402,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού (Εισ. Κατ.), ΑΠΘ",http://www.auth.gr/,Σέρρες,"I,II,III,IV",113,13729,0.80,08.55,,
403,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού (Εισ. Κατ.), ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",112,17161,0.80,08.55,,
404,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,"I,II,III,IV",332,13219,0.80,08.55,,
405,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, Θεσσαλίας",http://www.uth.gr/,Τρίκαλα,"I,II,III,IV",151,15134,1.00,10.69,,
406,"Μουσικών Σπουδών, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",61,14590,0.80,09.91,,
407,"Μουσικών Σπουδών, Ιονίου",http://www.ionio.gr/,Κέρκυρα,"I,II,III,IV",102,13440,0.80,09.91,,
408,"Μουσικών Σπουδών, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",70,15050,0.90,11.15,,
409,"Μουσικής Επιστήμης & Τέχνης, Μακεδονίας",http://www.uom.gr/,Θεσσαλονίκη,"I,II,III,IV",78,15600,1.20,14.86,,
673,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"I,II,III,IV",112,13120,0.80,08.40,,
678,"Βιοϊατρικών Επιστημών, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,III,288,14130,1.00,11.99,,
679,"Δημόσιας & Κοινοτικής Υγείας, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αθήνα,III,160,11680,0.90,10.79,,
680,"Εργοθεραπείας, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,III,99,14370,1.20,14.39,,
681,"Μαιευτικής, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,III,94,13200,1.10,13.19,,
682,"Νοσηλευτικής, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,III,173,13200,1.10,13.19,,
683,"Φυσικοθεραπείας, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,III,99,15575,1.20,14.39,,
684,"Επιστήμης & Τεχνολογίας Τροφίμων, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"II,III",80,13620,1.10,13.19,,
685,"Επιστημών Οίνου, Αμπέλου & Ποτών, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"II,III",64,11600,0.90,10.79,,
831,Ιατρικό (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,III,40,17550,1.20,14.39,,
836,Οδοντιατρικό (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,III,4,17770,1.20,14.39,,
841,Κτηνιατρικό (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,III,4,17482,1.20,14.39,,
846,Φαρμακευτικό (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,III,5,17300,1.20,14.39,,
851,Αξιωματικών Νοσηλευτικής (ΣΑΝ),http://www.geetha.mil.gr/,Αθήνα,III,34,14500,1.20,14.39,,
871,Αξιωματικών Πυροσβεστικής Ακαδημίας (Πυροσβέστες),http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",10,9940,0.80,08.40,,
876,Πυροσβεστών,http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",189,14460,0.80,08.40,,
877,Αξιωματικών Πυροσβεστικής Ακαδημίας,http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",41,17460,0.80,08.40,,
881,Δοκίμων Σημαιοφόρων Λιμενικού Σώματος - Ελληνικής Ακτοφυλακής (Σ.Δ.Σ.Λ.Σ. -ΕΛ.ΑΚΤ.),https://www.hcg.gr/el/,Αθήνα,"I,II,III,IV",19,16650,0.90,09.45,,
882,Δοκίμων Λιμενοφυλάκων,https://www.hcg.gr/el/,Αθήνα,"I,II,III,IV",74,13970,0.90,09.45,,
883,,,Αθήνα,"I,II,III,IV",,,0.90,09.45,,
1001,"Αγροτικής Ανάπτυξης, Αγροδιατροφής & Διαχείρισης Φυσικών Πόρων, ΕΚΠΑ",https://agro.uoa.gr/,Ψαχνά,"II,III,IV",65,9870,0.80,08.40,,
1011,"Ψηφιακών Τεχνών & Κινηματογράφου, ΕΚΠΑ",https://www.dcarts.uoa.gr/,Ψαχνά,"I,II,III,IV",81,10520,0.80,08.40,,
1061,"Δασολογίας & Διαχείρισης Φυσικού Περιβάλλοντος, Γεωπονικού",http://www.teiste.gr/,Καρπενήσι,"II,III",96,9700,0.80,09.60,,
1241,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, Ιωαννίνων",http://www.teiep.gr/,Ιωάννινα,"I,II,III,IV",138,10914,1.00,10.50,,
1242,"Γεωπονίας, Ιωαννίνων",http://www.teiep.gr/,Άρτα,"II,III",120,9455,0.80,09.60,,
1245,"Λογοθεραπείας, Ιωαννίνων",http://www.teiep.gr/,Ιωάννινα,III,116,12695,1.05,12.59,,
1248,"Μουσικών Σπουδών, Ιωαννίνων",https://music.uoi.gr/,Αρτα,"I,II,III,IV",137,11660,0.90,11.15,,
1249,"Νοσηλευτικής, Ιωαννίνων",http://www.teiep.gr/,Ιωάννινα,III,162,10930,0.80,09.60,,
1272,"Νοσηλευτικής, Πατρών",http://www.teiwest.gr/,Πάτρα,III,167,11400,0.95,11.39,,
1273,"Φυσικοθεραπείας, Πατρών",http://www.teiwest.gr/,Πάτρα,III,138,14381,1.20,14.39,,
1274,"Λογοθεραπείας, Πατρών",http://www.teiwest.gr/,Πάτρα,III,81,12844,1.00,11.99,,
1276,"Αλιείας & Υδατοκαλλιεργειών, Πατρών",http://www.teiwest.gr/,Μεσολόγγι,"II,III,IV",80,8335,0.80,08.40,,
1278,"Επιστήμης & Τεχνολογίας Τροφίμων, Πατρών",https://foodscitech.upatras.gr/,Αγρίνιο,"II,III",97,9630,0.80,09.60,,
1286,"Επιστημών της Εκπαίδευσης & Κοινωνικής Εργασίας, Πατρών",http://www.upatras.gr/,Πάτρα,"I,II,III,IV",228,14422,1.20,12.60,,
1288,"Αειφορικής Γεωργίας, Πατρών",http://susagri.upatras.gr/el,Αγρίνιο,"II,III",96,9885,0.80,09.60,,
1289,"Γεωπονίας, Πατρών",https://agriculture.upatras.gr/,Μεσολόγγι,"II,III",120,9445,0.80,09.60,,
1391,"Ωκεανογραφίας & Θαλάσσιων Βιοεπιστημών, Αιγαίου",http://www.aegean.gr/,Μυτιλήνη,"II,III",104,9300,0.80,09.60,,
1422,"Γεωπονίας - Αγροτεχνολογίας, Θεσσαλίας",http://www.teilar.gr/,Λάρισα,"II,III",80,9585,0.80,09.60,,
1424,"Δασολογίας, Επιστημών Ξύλου & Σχεδιασμού, Θεσσαλίας",http://www.teilar.gr/,Καρδίτσα,"II,III,IV",186,8605,0.80,08.40,,
1425,"Δημόσιας & Ενιαίας Υγείας, Θεσσαλίας",https://pubhealth.uth.gr/,Καρδίτσα,III,89,9600,0.80,09.60,,
1426,"Διαιτολογίας & Διατροφολογίας, Θεσσαλίας",http://www.teilar.gr/,Τρίκαλα,III,97,12130,1.00,11.99,,
1428,"Επιστήμης Ζωικής Παραγωγής, Θεσσαλίας",https://as.uth.gr/,Λάρισα,"II,III",120,9600,0.80,09.60,,
1429,"Επιστήμης Τροφίμων & Διατροφής, Θεσσαλίας",http://www.teilar.gr/,Καρδίτσα,"II,III",81,9775,0.80,09.60,,
1433,"Νοσηλευτικής, Θεσσαλίας",http://www.teilar.gr/,Λάρισα,III,140,10570,0.90,10.79,,
1434,"Περιβάλλοντος, Θεσσαλίας",https://env.uth.gr/,Λάρισα,"II,III,IV",81,9590,0.80,08.40,,
1438,"Φυσικοθεραπείας, Θεσσαλίας",http://www.teiste.gr/,Λαμία,III,104,14380,1.20,14.39,,
1452,"Επιστήμης & Τεχνολογίας Τροφίμων, Ιονίου",http://www.teiion.gr/,Αργοστόλι,"II,III",120,9461,0.80,09.60,,
1453,"Περιβάλλοντος, Ιονίου",http://www.teiion.gr/,Ζάκυνθος,"II,III,IV",122,8670,0.80,08.40,,
1511,"Γεωπονίας, Πελοποννήσου",http://www.teipel.gr/,Καλαμάτα,"II,III",104,9496,0.80,09.60,,
1512,"Επιστήμης & Τεχνολογίας Τροφίμων, Πελοποννήσου",http://www.teipel.gr/,Καλαμάτα,"II,III",130,10180,0.80,09.60,,
1515,"Λογοθεραπείας, Πελοποννήσου",http://www.teipel.gr/,Καλαμάτα,III,89,12440,0.90,10.79,,
1516,"Επιστήμης Διατροφής & Διαιτολογίας, Πελοποννήσου",https://nds.uop.gr/,Καλαμάτα,III,105,11460,0.90,10.79,,
1517,"Παραστατικών & Ψηφιακών Τεχνών, Πελοποννήσου",https://pda.uop.gr/,Ναύπλιον,"I,II,III,IV",113,9200,0.80,08.40,,
1520,"Φυσικοθεραπείας, Πελοποννήσου",https://physiotherapy.uop.gr/,Σπάρτη,III,114,13450,0.80,09.60,,
1552,"Γεωπονίας, Δυτ. Μακεδονίας",http://www.teiwm.gr/,Φλώρινα,"II,III",160,9300,0.80,09.60,,
1553,"Μαιευτικής, Δυτ. Μακεδονίας",http://www.teiwm.gr/,Πτολεμαΐδα,III,146,12065,1.00,11.99,,
1558,"Εργοθεραπείας, Δυτ. Μακεδονίας",https://ot.uowm.gr/,Πτολεμαΐδα,III,80,13000,1.00,11.99,,
1610,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,"I,II,III,IV",112,11250,0.80,08.40,,
1613,"Επιστημών Διατροφής & Διαιτολογίας, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,III,91,13850,1.00,11.99,,
1614,"Μαιευτικής, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,III,91,13241,1.10,13.19,,
1615,"Βιοϊατρικών Επιστημών, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,III,176,14240,1.20,14.39,,
1616,"Φυσικοθεραπείας, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,III,104,15100,1.20,14.39,,
1617,"Νοσηλευτικής, ΔΠΘ",http://www.teikav.edu.gr/,Αλεξανδρούπολη,III,102,9900,0.80,09.60,,
1618,"Νοσηλευτικής, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,III,101,12790,1.00,11.99,,
1629,"Χημείας, ΔΠΘ",https://chem.duth.gr/index.php/el/,Καβάλα,"II,III",182,14712,1.20,14.39,,
1632,"Φυσικού Περιβάλλοντος & Κλιματικής Ανθεκτικότητας, ΔΠΘ",http://www.teikav.edu.gr/,Δράμα,"II,III",120,9530,0.80,09.60,,
1633,"Τμήμα Αμπελουργίας & Οινολογίας, ΔΠΘ",http://www.teikav.edu.gr/,Δράμα,"II,III",160,9430,0.80,09.60,,
1634,"Γεωπονίας, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,"II,III",160,11040,0.95,11.39,,
1635,"Επιστήμης & Τεχνολογίας Τροφίμων, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,"II,III",99,12650,1.00,11.99,,
1651,"Νοσηλευτικής, ΕΛ.ΜΕ.ΠΑ.",https://www.teicrete.gr/,Ηράκλειο,III,144,10050,0.80,09.60,,
1653,"Επιστημών Διατροφής & Διαιτολογίας, ΕΛ.ΜΕ.ΠΑ.",https://www.teicrete.gr/,Σητεία,III,122,10460,0.80,09.60,,
1657,"Γεωπονίας, ΕΛ.ΜΕ.ΠΑ.",https://www.teicrete.gr/,Ηράκλειο,"II,III",97,9400,0.80,09.60,,
1670,"Εργοθεραπείας, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,III,72,13132,0.80,09.60,,
